,Unnamed: 0,num_infected,cities_infected,num_interactions,run,probability_of_flying_day,transmission_rate,initial_infected,passengers_per_flight,effective_contacts,probability_of_flying,reproduction_number
36,36,0.0,0,0,run-20150321-272,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-273,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-274,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-275,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-276,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-277,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-278,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-279,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-28,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,10.0,2,0,run-20150321-280,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,1.0,1,0,run-20150321-281,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-282,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,1.0,1,0,run-20150321-283,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-284,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,5.0,2,0,run-20150321-285,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-286,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,4.0,2,0,run-20150321-287,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-288,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-289,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-29,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,11.0,4,0,run-20150321-290,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-291,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,19.0,6,0,run-20150321-292,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,15.0,7,0,run-20150321-293,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-294,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,5.0,2,0,run-20150321-295,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-296,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-297,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-298,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-299,0.0005,0.05333333333333334,"[[366], [2000]]",150,15,0.014891755791629935,0.8
36,36,0.0,0,0,run-20150321-3,0.0005,0.04,"[[366], [1000]]",150,15,0.014891755791629935,0.6
36,36,0.0,0,0,run-20150321-30,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,109.0,19,2,run-20150321-300,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,133.0,24,3,run-20150321-301,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,243.0,33,4,run-20150321-302,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,121.0,18,1,run-20150321-303,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,253.0,35,7,run-20150321-304,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,160.0,21,1,run-20150321-305,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,70.0,10,2,run-20150321-306,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,225.0,33,2,run-20150321-307,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,275.0,34,7,run-20150321-308,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,179.0,25,3,run-20150321-309,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,0.0,0,0,run-20150321-31,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,151.0,20,3,run-20150321-310,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,376.0,38,6,run-20150321-311,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,294.0,37,7,run-20150321-312,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,204.0,24,3,run-20150321-313,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,163.0,22,4,run-20150321-314,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,110.0,16,0,run-20150321-315,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,144.0,23,3,run-20150321-316,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,170.0,27,4,run-20150321-317,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,156.0,27,0,run-20150321-318,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,145.0,23,1,run-20150321-319,0.0005,0.056666666666666664,"[[366], [2000]]",150,15,0.014891755791629935,0.85
36,36,0.0,0,0,run-20150321-32,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
